Date,Catégorie,Canal de vente,Événement spécial,Mois,Année,Montant des ventes
2018-01-01,Mode,Ventes en ligne,1,1,2018,6761.352
2018-01-01,Mode,Boutiques physiques,1,1,2018,5969.748
2018-01-01,Mode,Ventes privées,1,1,2018,3458.064
2018-01-01,Mode,Grands Magasins,1,1,2018,7871.2919999999995
2018-01-01,Accessoires,Ventes en ligne,1,1,2018,1630.968
2018-01-01,Accessoires,Boutiques physiques,1,1,2018,3037.08
2018-01-01,Accessoires,Ventes privées,1,1,2018,7759.775999999999
2018-01-01,Accessoires,Grands Magasins,1,1,2018,4325.04
2018-01-01,Parfums,Ventes en ligne,1,1,2018,3037.1879999999996
2018-01-01,Parfums,Boutiques physiques,1,1,2018,4563.023999999999
2018-01-01,Parfums,Ventes privées,1,1,2018,2543.136
2018-01-01,Parfums,Grands Magasins,1,1,2018,4774.728
2018-01-01,Joaillerie,Ventes en ligne,1,1,2018,4696.62
2018-01-01,Joaillerie,Boutiques physiques,1,1,2018,2375.124
2018-01-01,Joaillerie,Ventes privées,1,1,2018,7728.839999999999
2018-01-01,Joaillerie,Grands Magasins,1,1,2018,8362.895999999999
2018-01-01,Montres,Ventes en ligne,1,1,2018,7213.079999999999
2018-01-01,Montres,Boutiques physiques,1,1,2018,2920.056
2018-01-01,Montres,Ventes privées,1,1,2018,2747.856
2018-01-01,Montres,Grands Magasins,1,1,2018,2020.9319999999998
2018-01-01,Maroquinerie,Ventes en ligne,1,1,2018,4259.94
2018-01-01,Maroquinerie,Boutiques physiques,1,1,2018,2996.76
2018-01-01,Maroquinerie,Ventes privées,1,1,2018,3606.8759999999997
2018-01-01,Maroquinerie,Grands Magasins,1,1,2018,3608.772
2018-01-02,Mode,Ventes en ligne,1,1,2018,7236.227999999999
2018-01-02,Mode,Boutiques physiques,1,1,2018,2729.1479999999997
2018-01-02,Mode,Ventes privées,1,1,2018,8070.516
2018-01-02,Mode,Grands Magasins,1,1,2018,4566.012
2018-01-02,Accessoires,Ventes en ligne,1,1,2018,5143.164
2018-01-02,Accessoires,Boutiques physiques,1,1,2018,3940.7879999999996
2018-01-02,Accessoires,Ventes privées,1,1,2018,2739.06
2018-01-02,Accessoires,Grands Magasins,1,1,2018,6793.74
2018-01-02,Parfums,Ventes en ligne,1,1,2018,4668.612
2018-01-02,Parfums,Boutiques physiques,1,1,2018,1549.032
2018-01-02,Parfums,Ventes privées,1,1,2018,3813.8399999999997
2018-01-02,Parfums,Grands Magasins,1,1,2018,5284.643999999999
2018-01-02,Joaillerie,Ventes en ligne,1,1,2018,9839.496
2018-01-02,Joaillerie,Boutiques physiques,1,1,2018,8506.992
2018-01-02,Joaillerie,Ventes privées,1,1,2018,9415.547999999999
2018-01-02,Joaillerie,Grands Magasins,1,1,2018,2369.424
2018-01-02,Montres,Ventes en ligne,1,1,2018,1748.892
2018-01-02,Montres,Boutiques physiques,1,1,2018,2528.796
2018-01-02,Montres,Ventes privées,1,1,2018,7953.204
2018-01-02,Montres,Grands Magasins,1,1,2018,6430.068
2018-01-02,Maroquinerie,Ventes en ligne,1,1,2018,5825.964
2018-01-02,Maroquinerie,Boutiques physiques,1,1,2018,6000.48
2018-01-02,Maroquinerie,Ventes privées,1,1,2018,5273.196
2018-01-02,Maroquinerie,Grands Magasins,1,1,2018,3791.1719999999996
2018-01-03,Mode,Ventes en ligne,1,1,2018,6078.8279999999995
