Date;Catégorie_Produit;Canal_Vente;Événement_Spécial;Mois;Année;Montant_Ventes
2018-01-01;Mode;En ligne;0;1;2018;1207
2018-01-01;Mode;Boutique Physique;0;1;2018;1134
2018-01-01;Mode;Ventes Privées;0;1;2018;1224
2018-01-01;Mode;Grands Magasins;0;1;2018;1325
2018-01-01;Accessoires;En ligne;0;1;2018;1123
2018-01-01;Accessoires;Boutique Physique;0;1;2018;1123
2018-01-01;Accessoires;Ventes Privées;0;1;2018;1332
2018-01-01;Accessoires;Grands Magasins;0;1;2018;1238
2018-01-01;Parfums;En ligne;0;1;2018;1096
2018-01-01;Parfums;Boutique Physique;0;1;2018;1212
2018-01-01;Parfums;Ventes Privées;0;1;2018;1097
2018-01-01;Parfums;Grands Magasins;0;1;2018;1096
2018-01-01;Joaillerie;En ligne;0;1;2018;1178
2018-01-01;Joaillerie;Boutique Physique;0;1;2018;930
2018-01-01;Joaillerie;Ventes Privées;0;1;2018;952
2018-01-01;Joaillerie;Grands Magasins;0;1;2018;1085
2018-01-01;Montres;En ligne;0;1;2018;1034
2018-01-01;Montres;Boutique Physique;0;1;2018;1186
2018-01-01;Montres;Ventes Privées;0;1;2018;1046
2018-01-01;Montres;Grands Magasins;0;1;2018;988
2018-01-01;Maroquinerie;En ligne;0;1;2018;1319
2018-01-01;Maroquinerie;Boutique Physique;0;1;2018;1124
2018-01-01;Maroquinerie;Ventes Privées;0;1;2018;1158
2018-01-01;Maroquinerie;Grands Magasins;0;1;2018;986
2018-01-02;Mode;En ligne;0;1;2018;1087
2018-01-02;Mode;Boutique Physique;0;1;2018;1163
2018-01-02;Mode;Ventes Privées;0;1;2018;1018
2018-01-02;Mode;Grands Magasins;0;1;2018;1193
2018-01-02;Accessoires;En ligne;0;1;2018;1081
2018-01-02;Accessoires;Boutique Physique;0;1;2018;1116
2018-01-02;Accessoires;Ventes Privées;0;1;2018;1081
2018-01-02;Accessoires;Grands Magasins;0;1;2018;1363
2018-01-02;Parfums;En ligne;0;1;2018;1148
2018-01-02;Parfums;Boutique Physique;0;1;2018;1028
2018-01-02;Parfums;Ventes Privées;0;1;2018;1245
2018-01-02;Parfums;Grands Magasins;0;1;2018;1010
2018-01-02;Joaillerie;En ligne;0;1;2018;1174
2018-01-02;Joaillerie;Boutique Physique;0;1;2018;925
2018-01-02;Joaillerie;Ventes Privées;0;1;2018;997
2018-01-02;Joaillerie;Grands Magasins;0;1;2018;1173
2018-01-02;Montres;En ligne;0;1;2018;1235
2018-01-02;Montres;Boutique Physique;0;1;2018;1170
2018-01-02;Montres;Ventes Privées;0;1;2018;1137
2018-01-02;Montres;Grands Magasins;0;1;2018;1115
2018-01-02;Maroquinerie;En ligne;0;1;2018;980
2018-01-02;Maroquinerie;Boutique Physique;0;1;2018;1067
2018-01-02;Maroquinerie;Ventes Privées;0;1;2018;1097
2018-01-02;Maroquinerie;Grands Magasins;0;1;2018;1272
2018-01-03;Mode;En ligne;0;1;2018;1190
2018-01-03;Mode;Boutique Physique;0;1;2018;947
2018-01-03;Mode;Ventes Privées;0;1;2018;1187
2018-01-03;Mode;Grands Magasins;0;1;2018;1106
2018-01-03;Accessoires;En ligne;0;1;2018;1072
2018-01-03;Accessoires;Boutique Physique;0;1;2018;1220
2018-01-03;Accessoires;Ventes Privées;0;1;2018;1269
2018-01-03;Accessoires;Grands Magasins;0;1;2018;1257
2018-01-03;Parfums;En ligne;0;1;2018;1053
2018-01-03;Parfums;Boutique Physique;0;1;2018;1114
2018-01-03;Parfums;Ventes Privées;0;1;2018;1188
2018-01-03;Parfums;Grands Magasins;0;1;2018;1262
2018-01-03;Joaillerie;En ligne;0;1;2018;1095
2018-01-03;Joaillerie;Boutique Physique;0;1;2018;1129
2018-01-03;Joaillerie;Ventes Privées;0;1;2018;1023
2018-01-03;Joaillerie;Grands Magasins;0;1;2018;1012
2018-01-03;Montres;En ligne;0;1;2018;1243
2018-01-03;Montres;Boutique Physique;0;1;2018;1306
2018-01-03;Montres;Ventes Privées;0;1;2018;1142
2018-01-03;Montres;Grands Magasins;0;1;2018;1265
2018-01-03;Maroquinerie;En ligne;0;1;2018;1192
2018-01-03;Maroquinerie;Boutique Physique;0;1;2018;1076
2018-01-03;Maroquinerie;Ventes Privées;0;1;2018;1192
2018-01-03;Maroquinerie;Grands Magasins;0;1;2018;1327
2018-01-04;Mode;En ligne;0;1;2018;1146
2018-01-04;Mode;Boutique Physique;0;1;2018;1330
2018-01-04;Mode;Ventes Privées;0;1;2018;849
2018-01-04;Mode;Grands Magasins;0;1;2018;1245
2018-01-04;Accessoires;En ligne;0;1;2018;1160
2018-01-04;Accessoires;Boutique Physique;0;1;2018;1116
2018-01-04;Accessoires;Ventes Privées;0;1;2018;1161
2018-01-04;Accessoires;Grands Magasins;0;1;2018;921
2018-01-04;Parfums;En ligne;0;1;2018;1125
2018-01-04;Parfums;Boutique Physique;0;1;2018;1191
2018-01-04;Parfums;Ventes Privées;0;1;2018;1320
2018-01-04;Parfums;Grands Magasins;0;1;2018;1090
2018-01-04;Joaillerie;En ligne;0;1;2018;1057
2018-01-04;Joaillerie;Boutique Physique;0;1;2018;1092
2018-01-04;Joaillerie;Ventes Privées;0;1;2018;1255
2018-01-04;Joaillerie;Grands Magasins;0;1;2018;1188
2018-01-04;Montres;En ligne;0;1;2018;1089
2018-01-04;Montres;Boutique Physique;0;1;2018;1209
2018-01-04;Montres;Ventes Privées;0;1;2018;1161
2018-01-04;Montres;Grands Magasins;0;1;2018;1261
2018-01-04;Maroquinerie;En ligne;0;1;2018;1069
2018-01-04;Maroquinerie;Boutique Physique;0;1;2018;1112
2018-01-04;Maroquinerie;Ventes Privées;0;1;2018;1105
2018-01-04;Maroquinerie;Grands Magasins;0;1;2018;982
2018-01-05;Mode;En ligne;0;1;2018;1184
2018-01-05;Mode;Boutique Physique;0;1;2018;1180
2018-01-05;Mode;Ventes Privées;0;1;2018;1151
2018-01-05;Mode;Grands Magasins;0;1;2018;1123
2018-01-05;Accessoires;En ligne;0;1;2018;987
2018-01-05;Accessoires;Boutique Physique;0;1;2018;1102
2018-01-05;Accessoires;Ventes Privées;0;1;2018;1111
2018-01-05;Accessoires;Grands Magasins;0;1;2018;1058
2018-01-05;Parfums;En ligne;0;1;2018;1131
2018-01-05;Parfums;Boutique Physique;0;1;2018;1196
2018-01-05;Parfums;Ventes Privées;0;1;2018;1367
2018-01-05;Parfums;Grands Magasins;0;1;2018;1170
2018-01-05;Joaillerie;En ligne;0;1;2018;1180
2018-01-05;Joaillerie;Boutique Physique;0;1;2018;1141
2018-01-05;Joaillerie;Ventes Privées;0;1;2018;929
2018-01-05;Joaillerie;Grands Magasins;0;1;2018;1147
2018-01-05;Montres;En ligne;0;1;2018;1157
2018-01-05;Montres;Boutique Physique;0;1;2018;1433
2018-01-05;Montres;Ventes Privées;0;1;2018;1128
2018-01-05;Montres;Grands Magasins;0;1;2018;1185
2018-01-05;Maroquinerie;En ligne;0;1;2018;1146
2018-01-05;Maroquinerie;Boutique Physique;0;1;2018;1016
2018-01-05;Maroquinerie;Ventes Privées;0;1;2018;1281
2018-01-05;Maroquinerie;Grands Magasins;0;1;2018;1236
2018-01-06;Mode;En ligne;0;1;2018;1241
2018-01-06;Mode;Boutique Physique;0;1;2018;1045
2018-01-06;Mode;Ventes Privées;0;1;2018;1311
